Car Model,Color,Transmission,Mileage,Model Year,Registration City,Price,URL
Toyota Corolla 2019 for sale in Islamabad,NA,Manual,"130,000",2019,Islamabad,"PKR 3,850,000",httpswww.pakwheels.comused-carstoyota-corolla-2019-for-sale-in-islamabad-10215950
Toyota Prado 2002 for sale in Islamabad,NA,Automatic,"141,000",2002,Islamabad,"PKR 8,200,000",httpswww.pakwheels.comused-carstoyota-prado-2002-for-sale-in-islamabad-10215877
Toyota Aqua 2012 for sale in Islamabad,NA,Automatic,230,2012,Islamabad,"PKR 3,200,000",httpswww.pakwheels.comused-carstoyota-aqua-2012-for-sale-in-islamabad-9823036
Toyota Vitz 2015 for sale in Islamabad,Red,Automatic,"87,000",2015,Islamabad,"PKR 3,525,000",httpswww.pakwheels.comused-carstoyota-vitz-2015-for-sale-in-islamabad-9822962
Toyota Yaris Sedan 2021 for sale in Islamabad,NA,Automatic,"53,500",2021,Islamabad,"PKR 4,700,000",httpswww.pakwheels.comused-carstoyota-yaris-sedan-2021-for-sale-in-islamabad-10215815
Toyota Premio 2008 for sale in Islamabad,NA,Automatic,"290,000",2008,Islamabad,"PKR 4,200,000",httpswww.pakwheels.comused-carstoyota-premio-2008-for-sale-in-islamabad-10215774
Toyota Corolla 2001 for sale in Islamabad,NA,Manual,"150,000",2001,Islamabad,"PKR 1,850,000",httpswww.pakwheels.comused-carstoyota-corolla-2001-for-sale-in-islamabad-10215684
Toyota Vitz 2015 for sale in Islamabad,Red,Automatic,"87,000",2015,Islamabad,"PKR 3,525,000",httpswww.pakwheels.comused-carstoyota-vitz-2015-for-sale-in-islamabad-9822962
Toyota Premio 2007 for sale in Islamabad,Red,Automatic,"121,212",2007,Islamabad,"PKR 4,795,000",httpswww.pakwheels.comused-carstoyota-premio-2007-for-sale-in-islamabad-10215332
Toyota Corolla 2014 for sale in Islamabad,Red,Automatic,"116,000",2014,Islamabad,"PKR 4,525,000",httpswww.pakwheels.comused-carstoyota-corolla-2014-for-sale-in-islamabad-10215297
Toyota Fortuner 2020 for sale in Islamabad,Red,Automatic,"84,000",2020,Islamabad,"PKR 14,200,000",httpswww.pakwheels.comused-carstoyota-fortuner-2020-for-sale-in-islamabad-10112094
Toyota Prado 2019 for sale in Islamabad,Red,Automatic,"53,000",2019,Islamabad,"PKR 24,500,000",httpswww.pakwheels.comused-carstoyota-prado-2019-for-sale-in-islamabad-10155293
Toyota Corolla Axio 2007 for sale in Islamabad,Red,Automatic,"128,000",2007,Islamabad,"PKR 2,850,000",httpswww.pakwheels.comused-carstoyota-corolla-axio-2007-for-sale-in-islamabad-10211843
Toyota Yaris Sedan 2023 for sale in Islamabad,Red,Automatic,"30,000",2023,Islamabad,"PKR 4,700,000",httpswww.pakwheels.comused-carstoyota-yaris-sedan-2023-for-sale-in-islamabad-10207698
Toyota Crown 2004 for sale in Islamabad,Red,Automatic,"144,000",2004,Islamabad,"PKR 5,800,000",httpswww.pakwheels.comused-carstoyota-crown-2004-for-sale-in-islamabad-10088090
Toyota Passo 2019 for sale in Islamabad,Red,Automatic,"43,500",2019,Islamabad,"PKR 3,800,000",httpswww.pakwheels.comused-carstoyota-passo-2019-for-sale-in-islamabad-10190800
Toyota Land Cruiser 2011 for sale in Islamabad,Red,Automatic,"102,000",2011,Islamabad,"PKR 25,500,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-2011-for-sale-in-islamabad-10215044
Toyota Prado 2011 for sale in Islamabad,Red,Automatic,"90,000",2011,Islamabad,"PKR 14,500,000",httpswww.pakwheels.comused-carstoyota-prado-2011-for-sale-in-islamabad-10166897
Toyota Corolla 2007 for sale in Islamabad,NA,Manual,200,2007,Islamabad,"PKR 2,250,000",httpswww.pakwheels.comused-carstoyota-corolla-2007-for-sale-in-islamabad-10215623
Toyota Corolla 2019 for sale in Islamabad,NA,Automatic,"74,150",2019,Islamabad,"PKR 4,500,000",httpswww.pakwheels.comused-carstoyota-corolla-2019-for-sale-in-islamabad-10215604
Toyota Passo 2014 for sale in Islamabad,NA,Automatic,"96,000",2014,Islamabad,"PKR 2,890,000",httpswww.pakwheels.comused-carstoyota-passo-2014-for-sale-in-islamabad-10215586
Toyota Corolla Hatchback 2015 for sale in Islamabad,NA,Manual,"180,000",2015,Islamabad,"PKR 3,400,000",httpswww.pakwheels.comused-carstoyota-corolla-hatchback-2015-for-sale-in-islamabad-10215552
Toyota Corolla 2020 for sale in Islamabad,NA,Automatic,"25,173",2020,Islamabad,"PKR 4,670,000",httpswww.pakwheels.comused-carstoyota-corolla-2020-for-sale-in-islamabad-10215553
Toyota Corolla 2014 for sale in Islamabad,NA,Manual,"190,000",2014,Islamabad,"PKR 3,400,000",httpswww.pakwheels.comused-carstoyota-corolla-2014-for-sale-in-islamabad-10215550
Toyota Fortuner 2013 for sale in Islamabad,NA,Automatic,"77,000",2013,Islamabad,"PKR 7,190,000",httpswww.pakwheels.comused-carstoyota-fortuner-2013-for-sale-in-islamabad-10215549
Toyota Corolla 2016 for sale in Islamabad,NA,Manual,"111,000",2016,Islamabad,"PKR 3,700,000",httpswww.pakwheels.comused-carstoyota-corolla-2016-for-sale-in-islamabad-10215547
Toyota Corolla 2004 for sale in Islamabad,NA,Automatic,"70,000",2004,Islamabad,"PKR 3,550,000",httpswww.pakwheels.comused-carstoyota-corolla-2004-for-sale-in-islamabad-10215541
Toyota Corolla 2019 for sale in Islamabad,NA,Manual,"82,000",2019,Islamabad,"PKR 3,890,000",httpswww.pakwheels.comused-carstoyota-corolla-2019-for-sale-in-islamabad-10215529
Toyota Corolla 2012 for sale in Islamabad,NA,Manual,"280,000",2012,Islamabad,"PKR 2,280,000",httpswww.pakwheels.comused-carstoyota-corolla-2012-for-sale-in-islamabad-10215468
Toyota Corolla 2011 for sale in Islamabad,NA,Manual,"270,000",2011,Islamabad,"PKR 2,575,000",httpswww.pakwheels.comused-carstoyota-corolla-2011-for-sale-in-islamabad-10215459
Toyota C-HR 2017 for sale in Islamabad,NA,Automatic,"75,000",2017,Islamabad,"PKR 7,000,000",httpswww.pakwheels.comused-carstoyota-c-hr-2017-for-sale-in-islamabad-10215423
Toyota Crown 2019 for sale in Islamabad,NA,Automatic,"35,000",2019,Islamabad,"PKR 22,500,000",httpswww.pakwheels.comused-carstoyota-crown-2019-for-sale-in-islamabad-10215399
Toyota Corolla 2013 for sale in Islamabad,NA,Manual,"32,000",2013,Islamabad,"PKR 2,650,000",httpswww.pakwheels.comused-carstoyota-corolla-2013-for-sale-in-islamabad-10215383
Toyota Prado 2011 for sale in Islamabad,NA,Automatic,"90,000",2011,Islamabad,"PKR 16,850,000",httpswww.pakwheels.comused-carstoyota-prado-2011-for-sale-in-islamabad-10215361
Toyota Corolla 2014 for sale in Islamabad,NA,Manual,"161,000",2014,Islamabad,"PKR 3,500,000",httpswww.pakwheels.comused-carstoyota-corolla-2014-for-sale-in-islamabad-10039392
Toyota Prius 2007 for sale in Islamabad,NA,Automatic,"162,000",2007,Islamabad,"PKR 3,280,000",httpswww.pakwheels.comused-carstoyota-prius-2007-for-sale-in-islamabad-10215312
Toyota Corolla 2016 for sale in Islamabad,NA,Manual,"43,100",2016,Islamabad,"PKR 4,300,000",httpswww.pakwheels.comused-carstoyota-corolla-2016-for-sale-in-islamabad-10215269
Toyota Hilux 2006 for sale in Islamabad,Red,Manual,"185,000",2006,Islamabad,"PKR 3,400,000",httpswww.pakwheels.comused-carstoyota-hilux-2006-for-sale-in-islamabad-9661783
Toyota Aqua 2015 for sale in Islamabad,Red,Automatic,"110,000",2015,Islamabad,"PKR 3,920,000",httpswww.pakwheels.comused-carstoyota-aqua-2015-for-sale-in-islamabad-10198045
Toyota Vitz 2008 for sale in Islamabad,Red,Manual,"200,000",2008,Islamabad,"PKR 2,050,000",httpswww.pakwheels.comused-carstoyota-vitz-2008-for-sale-in-islamabad-10190369
Toyota Vitz 2015 for sale in Islamabad,Red,Automatic,175,2015,Islamabad,"PKR 3,325,000",httpswww.pakwheels.comused-carstoyota-vitz-2015-for-sale-in-islamabad-10182345
Toyota Premio 2008 for sale in Islamabad,Red,Automatic,"128,521",2008,Islamabad,"PKR 4,325,000",httpswww.pakwheels.comused-carstoyota-premio-2008-for-sale-in-islamabad-10214720
Toyota Cressida 1989 for sale in Islamabad,Red,Automatic,"145,000",1989,Islamabad,"PKR 1,650,000",httpswww.pakwheels.comused-carstoyota-cressida-1989-for-sale-in-islamabad-10207172
Toyota Hilux 2014 for sale in Islamabad,Red,Manual,"160,000",2014,Islamabad,"PKR 5,800,000",httpswww.pakwheels.comused-carstoyota-hilux-2014-for-sale-in-islamabad-10214579
Toyota Land Cruiser 2012 for sale in Islamabad,Red,Automatic,"81,608",2012,Islamabad,"PKR 29,000,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-2012-for-sale-in-islamabad-10214208
Toyota Prado 2021 for sale in Islamabad,Red,Automatic,"34,664",2021,Islamabad,"PKR 34,500,000",httpswww.pakwheels.comused-carstoyota-prado-2021-for-sale-in-islamabad-10153928
Toyota Hilux 2015 for sale in Islamabad,Red,Automatic,"70,528",2015,Islamabad,"PKR 9,300,000",httpswww.pakwheels.comused-carstoyota-hilux-2015-for-sale-in-islamabad-10152158
Toyota Prado 2010 for sale in Islamabad,Red,Automatic,"157,435",2010,Islamabad,"PKR 15,000,000",httpswww.pakwheels.comused-carstoyota-prado-2010-for-sale-in-islamabad-10214396
Toyota Land Cruiser 1990 for sale in Islamabad,Red,Automatic,"150,000",1990,Islamabad,"PKR 2,950,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-1990-for-sale-in-islamabad-10214366
Toyota Corolla 2011 for sale in Islamabad,NA,Automatic,"200,000",2011,Islamabad,"PKR 3,400,000",httpswww.pakwheels.comused-carstoyota-corolla-2011-for-sale-in-islamabad-10215226
Toyota Crown 2004 for sale in Islamabad,Red,Automatic,"144,000",2004,Islamabad,"PKR 5,800,000",httpswww.pakwheels.comused-carstoyota-crown-2004-for-sale-in-islamabad-10088090
Toyota Passo 2019 for sale in Islamabad,NA,Automatic,"43,000",2019,Islamabad,"PKR 3,775,000",httpswww.pakwheels.comused-carstoyota-passo-2019-for-sale-in-islamabad-10215204
Toyota Corolla 2003 for sale in Islamabad,NA,Manual,"180,000",2003,Islamabad,"PKR 1,880,000",httpswww.pakwheels.comused-carstoyota-corolla-2003-for-sale-in-islamabad-10215185
Toyota Corolla 2017 for sale in Islamabad,NA,Automatic,"174,000",2017,Islamabad,"PKR 4,950,000",httpswww.pakwheels.comused-carstoyota-corolla-2017-for-sale-in-islamabad-10215151
Toyota Passo 2019 for sale in Islamabad,Red,Automatic,"43,500",2019,Islamabad,"PKR 3,800,000",httpswww.pakwheels.comused-carstoyota-passo-2019-for-sale-in-islamabad-10190800
Toyota Vitz 2011 for sale in Islamabad,NA,Automatic,"116,000",2011,Islamabad,"PKR 2,750,000",httpswww.pakwheels.comused-carstoyota-vitz-2011-for-sale-in-islamabad-10215114
Toyota Vitz 2005 for sale in Islamabad,NA,Automatic,123,2005,Islamabad,"PKR 2,200,000",httpswww.pakwheels.comused-carstoyota-vitz-2005-for-sale-in-islamabad-10211729
Toyota Land Cruiser 2011 for sale in Islamabad,Red,Automatic,"102,000",2011,Islamabad,"PKR 25,500,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-2011-for-sale-in-islamabad-10215044
Toyota Prado 2011 for sale in Islamabad,Red,Automatic,"90,000",2011,Islamabad,"PKR 14,500,000",httpswww.pakwheels.comused-carstoyota-prado-2011-for-sale-in-islamabad-10166897
Toyota Camry 2011 for sale in Islamabad,NA,Automatic,"150,000",2011,Islamabad,"PKR 7,000,000",httpswww.pakwheels.comused-carstoyota-camry-2011-for-sale-in-islamabad-10215066
Toyota Camry 2013 for sale in Islamabad,NA,Automatic,"210,000",2013,Islamabad,"PKR 6,950,000",httpswww.pakwheels.comused-carstoyota-camry-2013-for-sale-in-islamabad-10215050
Toyota Corolla 2008 for sale in Islamabad,NA,Manual,"153,000",2008,Islamabad,"PKR 2,500,000",httpswww.pakwheels.comused-carstoyota-corolla-2008-for-sale-in-islamabad-10215026
Toyota Raize 2020 for sale in Islamabad,NA,Automatic,"38,000",2020,Islamabad,"PKR 6,225,000",httpswww.pakwheels.comused-carstoyota-raize-2020-for-sale-in-islamabad-10215016
Toyota Corolla 2009 for sale in Islamabad,NA,Manual,"300,000",2009,Islamabad,"PKR 2,150,000",httpswww.pakwheels.comused-carstoyota-corolla-2009-for-sale-in-islamabad-10214985
Toyota Passo 2024 for sale in Islamabad,NA,Automatic,"60,000",2024,Islamabad,"PKR 4,100,000",httpswww.pakwheels.comused-carstoyota-passo-2024-for-sale-in-islamabad-10214984
Toyota Crown 2004 for sale in Islamabad,NA,Automatic,"155,000",2004,Islamabad,"PKR 6,700,000",httpswww.pakwheels.comused-carstoyota-crown-2004-for-sale-in-islamabad-10214968
Toyota Town Ace 2003 for sale in Islamabad,NA,Manual,"125,000",2003,Islamabad,"PKR 2,050,000",httpswww.pakwheels.comused-carstoyota-town-ace-2003-for-sale-in-islamabad-10214762
Toyota Corolla 2012 for sale in Islamabad,NA,Manual,"160,000",2012,Islamabad,"PKR 3,300,000",httpswww.pakwheels.comused-carstoyota-corolla-2012-for-sale-in-islamabad-10214552
Toyota Aqua 2014 for sale in Islamabad,NA,Automatic,"99,900",2014,Islamabad,"PKR 3,895,000",httpswww.pakwheels.comused-carstoyota-aqua-2014-for-sale-in-islamabad-10214782
Toyota Corolla Touring 2002 for sale in Islamabad,Red,Manual,"250,000",2002,Islamabad,"PKR 1,920,000",httpswww.pakwheels.comused-carstoyota-corolla-touring-2002-for-sale-in-islamabad-9784542
Toyota Prado 1999 for sale in Islamabad,Red,Automatic,"300,000",1999,Islamabad,"PKR 5,000,000",httpswww.pakwheels.comused-carstoyota-prado-1999-for-sale-in-islamabad-10214152
Toyota C-HR 2018 for sale in Islamabad,Red,Automatic,"63,000",2018,Islamabad,"PKR 7,950,000",httpswww.pakwheels.comused-carstoyota-c-hr-2018-for-sale-in-islamabad-8664489
Toyota Corolla 2018 for sale in Islamabad,Red,Automatic,"110,000",2018,Islamabad,"PKR 5,390,000",httpswww.pakwheels.comused-carstoyota-corolla-2018-for-sale-in-islamabad-10191078
Toyota Prius 2018 for sale in Islamabad,Red,Automatic,"110,740",2018,Islamabad,"PKR 6,500,000",httpswww.pakwheels.comused-carstoyota-prius-2018-for-sale-in-islamabad-10081657
Toyota Passo 2020 for sale in Islamabad,Red,Automatic,"76,000",2020,Islamabad,"PKR 4,050,000",httpswww.pakwheels.comused-carstoyota-passo-2020-for-sale-in-islamabad-9988125
Toyota Hilux 2022 for sale in Islamabad,Red,Automatic,"47,500",2022,Islamabad,"PKR 14,000,000",httpswww.pakwheels.comused-carstoyota-hilux-2022-for-sale-in-islamabad-10213882
Toyota Raize 2020 for sale in Islamabad,Red,Automatic,"40,000",2020,Islamabad,"PKR 5,400,000",httpswww.pakwheels.comused-carstoyota-raize-2020-for-sale-in-islamabad-10213858
Toyota Corolla 2016 for sale in Islamabad,Red,Manual,"42,500",2016,Islamabad,"PKR 4,300,000",httpswww.pakwheels.comused-carstoyota-corolla-2016-for-sale-in-islamabad-10178820
Toyota Land Cruiser 2012 for sale in Islamabad,Red,Automatic,"83,000",2012,Islamabad,"PKR 28,500,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-2012-for-sale-in-islamabad-9968925
Toyota Prius 2006 for sale in Islamabad,Red,Automatic,"166,500",2006,Islamabad,"PKR 2,695,000",httpswww.pakwheels.comused-carstoyota-prius-2006-for-sale-in-islamabad-10213796
Toyota Corolla 2007 for sale in Islamabad,Red,Manual,"352,000",2007,Islamabad,"PKR 1,975,000",httpswww.pakwheels.comused-carstoyota-corolla-2007-for-sale-in-islamabad-10027279
Toyota Premio 2008 for sale in Islamabad,Red,Automatic,"128,521",2008,Islamabad,"PKR 4,325,000",httpswww.pakwheels.comused-carstoyota-premio-2008-for-sale-in-islamabad-10214720
Toyota Aqua 2013 for sale in Islamabad,NA,Automatic,"150,000",2013,Islamabad,"PKR 3,650,000",httpswww.pakwheels.comused-carstoyota-aqua-2013-for-sale-in-islamabad-10102271
Toyota Vitz 2011 for sale in Islamabad,NA,Automatic,"56,000",2011,Islamabad,"PKR 3,400,000",httpswww.pakwheels.comused-carstoyota-vitz-2011-for-sale-in-islamabad-10206723
Toyota Aqua 2018 for sale in Islamabad,NA,Automatic,"119,000",2018,Islamabad,"PKR 5,500,000",httpswww.pakwheels.comused-carstoyota-aqua-2018-for-sale-in-islamabad-10206904
Toyota Rav4 2004 for sale in Islamabad,NA,Automatic,"100,000",2004,Islamabad,"PKR 2,850,000",httpswww.pakwheels.comused-carstoyota-rav4-2004-for-sale-in-islamabad-10213135
Toyota Cressida 1989 for sale in Islamabad,Red,Automatic,"145,000",1989,Islamabad,"PKR 1,650,000",httpswww.pakwheels.comused-carstoyota-cressida-1989-for-sale-in-islamabad-10207172
Toyota Hilux 2014 for sale in Islamabad,Red,Manual,"160,000",2014,Islamabad,"PKR 5,800,000",httpswww.pakwheels.comused-carstoyota-hilux-2014-for-sale-in-islamabad-10214579
Toyota Passo 2012 for sale in Islamabad,NA,Automatic,"110,000",2012,Islamabad,"PKR 2,465,000",httpswww.pakwheels.comused-carstoyota-passo-2012-for-sale-in-islamabad-10214581
Toyota Mark X 2006 for sale in Islamabad,NA,Automatic,"165,000",2006,Islamabad,"PKR 4,300,000",httpswww.pakwheels.comused-carstoyota-mark-x-2006-for-sale-in-islamabad-10214205
Toyota Hilux 2007 for sale in Islamabad,NA,Manual,"74,850",2007,Islamabad,"PKR 4,750,000",httpswww.pakwheels.comused-carstoyota-hilux-2007-for-sale-in-islamabad-10214497
Toyota Land Cruiser 2012 for sale in Islamabad,Red,Automatic,"81,608",2012,Islamabad,"PKR 29,000,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-2012-for-sale-in-islamabad-10214208
Toyota Prado 2021 for sale in Islamabad,Red,Automatic,"34,664",2021,Islamabad,"PKR 34,500,000",httpswww.pakwheels.comused-carstoyota-prado-2021-for-sale-in-islamabad-10153928
Toyota Corolla 2013 for sale in Islamabad,NA,Manual,"177,000",2013,Islamabad,"PKR 3,100,000",httpswww.pakwheels.comused-carstoyota-corolla-2013-for-sale-in-islamabad-10214443
Toyota Hilux 2015 for sale in Islamabad,Red,Automatic,"70,528",2015,Islamabad,"PKR 9,300,000",httpswww.pakwheels.comused-carstoyota-hilux-2015-for-sale-in-islamabad-10152158
Toyota Corolla 2021 for sale in Islamabad,NA,Automatic,"150,000",2021,Islamabad,"PKR 5,500,000",httpswww.pakwheels.comused-carstoyota-corolla-2021-for-sale-in-islamabad-10214408
Toyota Prado 2010 for sale in Islamabad,Red,Automatic,"157,435",2010,Islamabad,"PKR 15,000,000",httpswww.pakwheels.comused-carstoyota-prado-2010-for-sale-in-islamabad-10214396
Toyota Aqua 2014 for sale in Islamabad,NA,Automatic,"250,000",2014,Islamabad,"PKR 3,650,000",httpswww.pakwheels.comused-carstoyota-aqua-2014-for-sale-in-islamabad-10214373
Toyota Land Cruiser 1990 for sale in Islamabad,Red,Automatic,"150,000",1990,Islamabad,"PKR 2,950,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-1990-for-sale-in-islamabad-10214366
Toyota Hilux 2019 for sale in Islamabad,NA,Automatic,"118,000",2019,Islamabad,"PKR 11,000,000",httpswww.pakwheels.comused-carstoyota-hilux-2019-for-sale-in-islamabad-10205740
Toyota Vitz 2012 for sale in Islamabad,NA,Automatic,"140,000",2012,Islamabad,"PKR 2,820,000",httpswww.pakwheels.comused-carstoyota-vitz-2012-for-sale-in-islamabad-10214356
Toyota Corolla Fielder 2016 for sale in Islamabad,NA,Automatic,"144,900",2016,Islamabad,"PKR 5,900,000",httpswww.pakwheels.comused-carstoyota-corolla-fielder-2016-for-sale-in-islamabad-10214344
Toyota Celica 1981 for sale in Islamabad,NA,Manual,"91,000",1981,Islamabad,"PKR 1,500,000",httpswww.pakwheels.comused-carstoyota-celica-1981-for-sale-in-islamabad-10214291
Toyota Corolla 2015 for sale in Islamabad,NA,Automatic,"72,000",2015,Islamabad,"PKR 3,850,000",httpswww.pakwheels.comused-carstoyota-corolla-2015-for-sale-in-islamabad-10214273
Toyota Corolla 2019 for sale in Islamabad,NA,Automatic,"98,000",2019,Islamabad,"PKR 4,980,000",httpswww.pakwheels.comused-carstoyota-corolla-2019-for-sale-in-islamabad-10214175
Toyota Corolla 2019 for sale in Islamabad,Red,Automatic,"102,000",2019,Islamabad,"PKR 4,755,000",httpswww.pakwheels.comused-carstoyota-corolla-2019-for-sale-in-islamabad-10164492
Toyota Raize 2021 for sale in Islamabad,Red,Automatic,"92,000",2021,Islamabad,"PKR 5,190,000",httpswww.pakwheels.comused-carstoyota-raize-2021-for-sale-in-islamabad-10213171
Toyota Prius Alpha 2012 for sale in Islamabad,Red,Automatic,"157,000",2012,Islamabad,"PKR 4,820,000",httpswww.pakwheels.comused-carstoyota-prius-alpha-2012-for-sale-in-islamabad-9998305
Toyota Hilux 2023 for sale in Islamabad,Red,Automatic,"23,000",2023,Islamabad,"PKR 14,300,000",httpswww.pakwheels.comused-carstoyota-hilux-2023-for-sale-in-islamabad-10213119
Toyota Hilux 2021 for sale in Islamabad,Red,Automatic,"46,000",2021,Islamabad,"PKR 12,300,000",httpswww.pakwheels.comused-carstoyota-hilux-2021-for-sale-in-islamabad-10134172
Toyota Prius 2007 for sale in Islamabad,Red,Automatic,"150,000",2007,Islamabad,"PKR 2,715,000",httpswww.pakwheels.comused-carstoyota-prius-2007-for-sale-in-islamabad-10104801
Toyota Vitz 2007 for sale in Islamabad,Red,Automatic,"110,000",2007,Islamabad,"PKR 2,330,000",httpswww.pakwheels.comused-carstoyota-vitz-2007-for-sale-in-islamabad-9297895
Toyota Passo 2015 for sale in Islamabad,Red,Automatic,"60,000",2015,Islamabad,"PKR 2,995,000",httpswww.pakwheels.comused-carstoyota-passo-2015-for-sale-in-islamabad-10157075
Toyota Aqua 2021 for sale in Islamabad,Red,Automatic,"17,023",2021,Islamabad,"PKR 6,799,000",httpswww.pakwheels.comused-carstoyota-aqua-2021-for-sale-in-islamabad-8158030
Toyota C-HR 2020 for sale in Islamabad,Red,Automatic,"33,015",2020,Islamabad,"PKR 9,599,000",httpswww.pakwheels.comused-carstoyota-c-hr-2020-for-sale-in-islamabad-10115104
Toyota Corolla 2023 for sale in Islamabad,Red,Automatic,"26,252",2023,Islamabad,"PKR 7,500,000",httpswww.pakwheels.comused-carstoyota-corolla-2023-for-sale-in-islamabad-10213158
Toyota Corolla Axio 2014 for sale in Islamabad,Red,Automatic,"188,000",2014,Islamabad,"PKR 4,250,000",httpswww.pakwheels.comused-carstoyota-corolla-axio-2014-for-sale-in-islamabad-10103373
Toyota Aqua 2015 for sale in Islamabad,NA,Automatic,"195,000",2015,Islamabad,"PKR 4,000,000",httpswww.pakwheels.comused-carstoyota-aqua-2015-for-sale-in-islamabad-10214148
Toyota Prado 1999 for sale in Islamabad,Red,Automatic,"300,000",1999,Islamabad,"PKR 5,000,000",httpswww.pakwheels.comused-carstoyota-prado-1999-for-sale-in-islamabad-10214152
Toyota Corolla 2009 for sale in Islamabad,NA,Automatic,"162,000",2009,Islamabad,"PKR 2,700,000",httpswww.pakwheels.comused-carstoyota-corolla-2009-for-sale-in-islamabad-10166655
Toyota Hilux 2017 for sale in Islamabad,NA,Automatic,"115,000",2017,Islamabad,"PKR 9,750,000",httpswww.pakwheels.comused-carstoyota-hilux-2017-for-sale-in-islamabad-10214125
Toyota Prado 2003 for sale in Islamabad,NA,Automatic,"185,000",2003,Islamabad,"PKR 9,000,000",httpswww.pakwheels.comused-carstoyota-prado-2003-for-sale-in-islamabad-10214111
Toyota C-HR 2018 for sale in Islamabad,Red,Automatic,"63,000",2018,Islamabad,"PKR 7,950,000",httpswww.pakwheels.comused-carstoyota-c-hr-2018-for-sale-in-islamabad-8664489
Toyota Corolla 2012 for sale in Islamabad,NA,Manual,"175,000",2012,Islamabad,"PKR 2,600,000",httpswww.pakwheels.comused-carstoyota-corolla-2012-for-sale-in-islamabad-10214049
